"Site","SampleID","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength"
"BRN","oro152050",3.1,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro152051",3.2,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro152052",3.2,"oro15","sample","8/1/15",31,42.731521,-71.605841,2015-08-01,14.5303563452236
"BRN","oro152054",3.2,"oro15","sample","7/18/15",29,42.731521,-71.605841,2015-07-18,14.9709209597001
"BRN","oro152055",3.2,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro160434",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160435",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160436",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160530",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro160438",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160439",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160394",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149
"BRN","oro160485",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160441",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro162656",7.2,"oro16","sample","8/26/16",35,42.731521,-71.605841,2016-08-26,13.4530203197274
"BRN","oro160488",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160445",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro162659",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro162660",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro162661",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro162662",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro162663",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro162664",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160501",4.2,"oro16","sample","6/25/16",26,42.731521,-71.605841,2016-06-25,15.3217059904312
"BRN","oro160453",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro162667",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160455",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro162669",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160458",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160459",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160416",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro160417",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro160556",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160557",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160420",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160421",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro152038",3.1,"oro15","sample","7/25/15",30,42.731521,-71.605841,2015-07-25,14.7675289185821
"BRN","oro152041",3.1,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro151893",3.2,"oro15","sample","8/14/15",33,42.731521,-71.605841,2015-08-14,14.0216216829521
"BRN","oro151896",3.2,"oro15","sample","8/8/15",32,42.731521,-71.605841,2015-08-08,14.2657764315125
"BRN","oro151897",3.2,"oro15","sample","8/14/15",33,42.731521,-71.605841,2015-08-14,14.0216216829521
"BRN","oro151898",3.2,"oro15","sample","8/14/15",33,42.731521,-71.605841,2015-08-14,14.0216216829521
"BRN","oro151902",3.2,"oro15","sample","8/8/15",32,42.731521,-71.605841,2015-08-08,14.2657764315125
"BRN","oro151905",3.1,"oro15","sample","8/8/15",32,42.731521,-71.605841,2015-08-08,14.2657764315125
"BRN","oro151910",3.1,"oro15","sample","8/14/15",33,42.731521,-71.605841,2015-08-14,14.0216216829521
"BRN","oro160526",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro160388",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149
"BRN","oro160392",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149
"BRN","oro160437",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160529",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro150360",3.1,"oro15","sample","6/13/15",24,42.731521,-71.605841,2015-06-13,15.2854676327116
"BRN","oro162699",7.2,"oro16","sample","9/25/16",39,42.731521,-71.605841,2016-09-25,12.0385909831306
"BRN","oro160454",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160486",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160443",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
