SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160280,SA703,SB505,1.2,bri16,26,E03,sample,ELY,7/6/16,28,EPFU
bri160281,SA704,SB505,1.2,bri16,26,E04,sample,ELY,7/6/16,28,EPFU
bri160282,SA706,SB505,1.2,bri16,26,E06,sample,ELY,7/6/16,28,EPFU
bri160329,SA709,SC501,1.2,bri16,27,A09,sample,ELY,6/14/16,25,MYLE
bri160330,SA710,SC501,1.2,bri16,27,A10,sample,ELY,6/14/16,25,MYLE
bri160331,SA711,SC501,1.2,bri16,27,A11,sample,ELY,6/14/16,25,MYLE
bri160332,SA712,SC501,1.2,bri16,27,A12,sample,ELY,6/14/16,25,EPFU
bri160333,SA701,SC502,1.2,bri16,27,B01,sample,ELY,6/14/16,25,MYLE
bri160334,SA703,SC502,1.2,bri16,27,B03,sample,ELY,6/14/16,25,MYSE
bri160335,SA704,SC502,1.2,bri16,27,B04,sample,ELY,6/15/16,25,MYLE
bri160336,SA705,SC502,1.2,bri16,27,B05,sample,ELY,6/15/16,25,MYLE
bri160337,SA706,SC502,1.2,bri16,27,B06,sample,ELY,6/15/16,25,MYLE
bri160338,SA707,SC502,1.2,bri16,27,B07,sample,ELY,6/15/16,25,MYLE
bri160339,SA708,SC502,1.2,bri16,27,B08,sample,ELY,6/15/16,25,EPFU
bri160340,SA709,SC502,1.2,bri16,27,B09,sample,ELY,6/15/16,25,EPFU
bri160341,SA710,SC502,1.2,bri16,27,B10,sample,ELY,6/15/16,25,EPFU
bri160342,SA711,SC502,1.2,bri16,27,B11,sample,ELY,6/15/16,25,MYLE
bri160343,SA712,SC502,1.2,bri16,27,B12,sample,ELY,6/15/16,25,MYLE
bri160344,SA701,SC503,1.2,bri16,27,C01,sample,ELY,6/15/16,25,MYLE
bri160345,SA702,SC503,1.2,bri16,27,C02,sample,ELY,6/15/16,25,MYLE
bri160346,SA704,SC503,1.2,bri16,27,C04,sample,ELY,6/15/16,25,MYLU
bri160347,SA705,SC503,1.2,bri16,27,C05,sample,ELY,6/15/16,25,MYLE
bri160348,SA706,SC503,1.2,bri16,27,C06,sample,ELY,6/15/16,25,MYLE
bri160349,SA707,SC503,1.2,bri16,27,C07,sample,ELY,6/15/16,25,MYLE
bri160350,SA708,SC503,1.2,bri16,27,C08,sample,ELY,6/16/16,25,MYLE
bri160351,SA709,SC503,1.2,bri16,27,C09,sample,ELY,6/16/16,25,MYLE
bri160352,SA710,SC503,1.2,bri16,27,C10,sample,ELY,6/16/16,25,MYLE
bri160353,SA711,SC503,1.2,bri16,27,C11,sample,ELY,6/16/16,25,EPFU
bri160354,SA712,SC503,1.2,bri16,27,C12,sample,ELY,6/16/16,25,MYLE
bri160355,SA701,SC504,1.2,bri16,27,D01,sample,ELY,6/16/16,25,MYLE
bri160356,SA702,SC504,1.2,bri16,27,D02,sample,ELY,6/16/16,25,EPFU
bri160357,SB702,SA506,7.1,bri16,33,F02,sample,ELY,7/16/2016,29,MYLE
bri160358,SA703,SC504,1.2,bri16,27,D03,sample,ELY,6/19/16,25,EPFU
bri160359,SA705,SC504,1.2,bri16,27,D05,sample,ELY,6/19/16,25,MYLU
bri160360,SA706,SC504,1.2,bri16,27,D06,sample,ELY,6/19/16,25,MYLE
bri160361,SA707,SC504,1.2,bri16,27,D07,sample,ELY,6/19/16,25,MYLU
bri160362,SA708,SC504,1.2,bri16,27,D08,sample,ELY,6/19/16,25,EPFU
bri160363,SA709,SC504,1.2,bri16,27,D09,sample,ELY,6/19/16,25,EPFU
bri160364,SA710,SC504,1.2,bri16,27,D10,sample,ELY,6/24/16,26,EPFU
bri160365,SA711,SC504,1.2,bri16,27,D11,sample,ELY,6/24/16,26,EPFU
bri160366,SA712,SC504,1.2,bri16,27,D12,sample,ELY,6/24/16,26,MYLE
bri160367,SA701,SC505,1.2,bri16,27,E01,sample,ELY,6/24/16,26,MYLE
bri160368,SA702,SC505,1.2,bri16,27,E02,sample,ELY,6/24/16,26,EPFU
