windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
4PEN,6PEN,0.148,0.577,H,window456
5CNA,5EPS,0.088,0.459,H,window456
5CNA,5FOX,0.245,0.687,H,window456
5CNA,5HOL,0.152,0.571,H,window456
5CNA,5HOP,0.853,0.974,H,window456
5CNA,5MAP,0.723,0.949,H,window456
5CNA,5PEN,0.896,0.98,H,window456
5CNA,6CNA,0.579,0.943,H,window456
5CNA,6EPS,0.455,0.901,H,window456
5CNA,6FOX,0.146,0.577,H,window456
5CNA,6HOL,0.118,0.504,H,window456
5CNA,6HOP,0.369,0.842,H,window456
5CNA,6MAP,0.74,0.953,H,window456
5CNA,6PEN,0.187,0.634,H,window456
5EPS,5FOX,0.002,0.071,H,window456
5EPS,5HOL,0,0.031,H,window456
5EPS,5HOP,0.04,0.337,H,window456
5EPS,5MAP,0.026,0.299,H,window456
5EPS,5PEN,0.066,0.409,H,window456
5EPS,6CNA,0.035,0.35,H,window456
5EPS,6EPS,0.035,0.324,H,window456
5EPS,6FOX,0.005,0.121,H,window456
5EPS,6HOL,0.673,0.943,H,window456
5EPS,6HOP,0.005,0.116,H,window456
5EPS,6MAP,0.044,0.326,H,window456
5EPS,6PEN,0.979,0.988,H,window456
5FOX,5HOL,0.871,0.978,H,window456
5FOX,5HOP,0.286,0.751,H,window456
5FOX,5MAP,0.378,0.844,H,window456
5FOX,5PEN,0.133,0.549,H,window456
5FOX,6CNA,0.655,0.942,H,window456
5FOX,6EPS,0.909,0.979,H,window456
5FOX,6FOX,0.531,0.953,H,window456
5FOX,6HOL,0.001,0.072,H,window456
5FOX,6HOP,0.774,0.973,H,window456
5FOX,6MAP,0.437,0.89,H,window456
5FOX,6PEN,0.023,0.299,H,window456
5HOL,5HOP,0.171,0.608,H,window456
5HOL,5MAP,0.246,0.679,H,window456
5HOL,5PEN,0.056,0.356,H,window456
5HOL,6CNA,0.541,0.947,H,window456
5HOL,6EPS,0.819,0.977,H,window456
