SampleID,Site,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Date,WOY,HostSpecies,SiteLat,SiteLong,newDate
bri160352,ELY,SA710,SC503,1.2,bri16,27,C10,sample,6/16/16,25,MYLE,NA,NA,NA
bri160353,ELY,SA711,SC503,1.2,bri16,27,C11,sample,6/16/16,25,EPFU,NA,NA,NA
bri160354,ELY,SA712,SC503,1.2,bri16,27,C12,sample,6/16/16,25,MYLE,NA,NA,NA
bri160355,ELY,SA701,SC504,1.2,bri16,27,D01,sample,6/16/16,25,MYLE,NA,NA,NA
bri160356,ELY,SA702,SC504,1.2,bri16,27,D02,sample,6/16/16,25,EPFU,NA,NA,NA
bri160357,ELY,SB702,SA506,7.1,bri16,33,F02,sample,7/16/16,29,MYLE,NA,NA,NA
bri160358,ELY,SA703,SC504,1.2,bri16,27,D03,sample,6/19/16,25,EPFU,NA,NA,NA
bri160359,ELY,SA705,SC504,1.2,bri16,27,D05,sample,6/19/16,25,MYLU,NA,NA,NA
bri160360,ELY,SA706,SC504,1.2,bri16,27,D06,sample,6/19/16,25,MYLE,NA,NA,NA
bri160361,ELY,SA707,SC504,1.2,bri16,27,D07,sample,6/19/16,25,MYLU,NA,NA,NA
bri160362,ELY,SA708,SC504,1.2,bri16,27,D08,sample,6/19/16,25,EPFU,NA,NA,NA
bri160363,ELY,SA709,SC504,1.2,bri16,27,D09,sample,6/19/16,25,EPFU,NA,NA,NA
bri160364,ELY,SA710,SC504,1.2,bri16,27,D10,sample,6/24/16,26,EPFU,NA,NA,NA
bri160365,ELY,SA711,SC504,1.2,bri16,27,D11,sample,6/24/16,26,EPFU,NA,NA,NA
bri160366,ELY,SA712,SC504,1.2,bri16,27,D12,sample,6/24/16,26,MYLE,NA,NA,NA
bri160367,ELY,SA701,SC505,1.2,bri16,27,E01,sample,6/24/16,26,MYLE,NA,NA,NA
bri160368,ELY,SA702,SC505,1.2,bri16,27,E02,sample,6/24/16,26,EPFU,NA,NA,NA
bri160369,ELY,SA703,SC505,1.2,bri16,27,E03,sample,6/24/16,26,EPFU,NA,NA,NA
bri160370,ELY,SA704,SC505,1.2,bri16,27,E04,sample,6/24/16,26,EPFU,NA,NA,NA
bri160371,ELY,SA706,SC505,1.2,bri16,27,E06,sample,6/24/16,26,MYLE,NA,NA,NA
bri160372,ELY,SA707,SC505,1.2,bri16,27,E07,sample,6/24/16,26,EPFU,NA,NA,NA
bri160373,ELY,SA708,SC505,1.2,bri16,27,E08,sample,6/24/16,26,MYLE,NA,NA,NA
bri160374,ELY,SA709,SC505,1.2,bri16,27,E09,sample,6/25/16,26,MYLE,NA,NA,NA
bri160375,ELY,SA710,SC505,1.2,bri16,27,E10,sample,6/25/16,26,EPFU,NA,NA,NA
bri160406,ELY,SA712,SA506,7.2,bri16,37,F12,sample,7/28/16,31,MYLE,NA,NA,NA
